"","1%","5%","10%"
"Distribution 1",0.3101,0.25,0.2118
"Distribution 2",0.3136,0.2499,0.1995
"Distribution 3",0.3136,0.2401,0.2079
"Distribution 4",0.297,0.2209,0.194566666666667
"Distribution 5",0.2993,0.2314,0.1966
"Distribution 6",0.3083,0.2304,0.203
"Distribution 7",0.3177,0.2601,0.2036
"Distribution 8",0.3177,0.2343,0.203088888888889
"Distribution 9",0.3038,0.2414,0.202866666666667
"Distribution 10",0.3364,0.2623,0.213
