"","x"
"1",0.357
"2",0.3481
"3",0.3397
"4",0.3368
"5",0.3364
"6",0.3364
"7",0.3249
"8",0.3137
"9",0.3136
"10",0.3038
"11",0.3025
"12",0.3006
"13",0.2918
"14",0.2916
"15",0.2895
"16",0.287
"17",0.2846
"18",0.2837
"19",0.2809
"20",0.2809
"21",0.2797
"22",0.2786
"23",0.2786
"24",0.2779
"25",0.2731
"26",0.2711
"27",0.2704
"28",0.2704
"29",0.2694
"30",0.2693
"31",0.2686
"32",0.2649
"33",0.2639
"34",0.2625
"35",0.2601
"36",0.2572
"37",0.2552
"38",0.253
"39",0.25
"40",0.2468
"41",0.2443
"42",0.2442
"43",0.242788888888889
"44",0.242
"45",0.2415
"46",0.2414
"47",0.2405
"48",0.2401
"49",0.2401
"50",0.2401
"51",0.2393
"52",0.2364
"53",0.236
"54",0.2349
"55",0.234088888888889
"56",0.2322
"57",0.2318
"58",0.2304
"59",0.2304
"60",0.2304
"61",0.2293
"62",0.2288
"63",0.227588888888889
"64",0.2263
"65",0.2258
"66",0.2256
"67",0.2244
"68",0.2228
"69",0.2224
"70",0.222
"71",0.2218
"72",0.2203
"73",0.2198
"74",0.2162
"75",0.2161
"76",0.2154
"77",0.2143
"78",0.212822222222222
"79",0.212822222222222
"80",0.2122
"81",0.2116
"82",0.2116
"83",0.2099
"84",0.2098
"85",0.2097
"86",0.209288888888889
"87",0.206955555555556
"88",0.2062
"89",0.2062
"90",0.205
"91",0.202866666666667
"92",0.2025
"93",0.2005
"94",0.1999
"95",0.1985
"96",0.1985
"97",0.1983
"98",0.1965
"99",0.1963
"100",0.1959
"101",0.195187755102041
"102",0.194473469387755
"103",0.1943
"104",0.194
"105",0.1938
"106",0.1936
"107",0.1936
"108",0.1936
"109",0.192988888888889
"110",0.1924
"111",0.1909
"112",0.190487755102041
"113",0.1878
"114",0.1876
"115",0.187
"116",0.186888888888889
"117",0.1859
"118",0.185888888888889
"119",0.1858
"120",0.1858
"121",0.1856
"122",0.1854
"123",0.1851
"124",0.1845
"125",0.183866666666667
"126",0.1835
"127",0.1825
"128",0.1823
"129",0.1816
"130",0.181133333333333
"131",0.1802
"132",0.1788
"133",0.1784
"134",0.1779
"135",0.1778
"136",0.1771
"137",0.177
"138",0.1769
"139",0.1766
"140",0.1766
"141",0.1763
"142",0.1757
"143",0.1754
"144",0.1742
"145",0.1741
"146",0.1738
"147",0.173422222222222
"148",0.1733
"149",0.173044444444444
"150",0.1729
"151",0.1728
"152",0.1717
"153",0.1706
"154",0.1703
"155",0.17
"156",0.1693
"157",0.1692
"158",0.1691
"159",0.169
"160",0.1684
"161",0.1682
"162",0.1677
"163",0.1671
"164",0.167
"165",0.167
"166",0.1669
"167",0.1669
"168",0.1665
"169",0.166144444444444
"170",0.166088888888889
"171",0.1658
"172",0.1658
"173",0.1658
"174",0.1657
"175",0.1656
"176",0.165111111111111
"177",0.165
"178",0.1649
"179",0.1642
"180",0.164157142857143
"181",0.164
"182",0.1639
"183",0.1635
"184",0.1634
"185",0.1633
"186",0.1625
"187",0.1625
"188",0.1625
"189",0.1625
"190",0.1625
"191",0.1625
"192",0.1623
"193",0.1621
"194",0.1621
"195",0.162
"196",0.162
"197",0.1614
"198",0.1613
"199",0.1612
"200",0.160555555555556
"201",0.160277777777778
"202",0.1602
"203",0.16
"204",0.159977777777778
"205",0.1593
"206",0.159
"207",0.158814285714286
"208",0.1588
"209",0.158666666666667
"210",0.1585
"211",0.1585
"212",0.1585
"213",0.1583
"214",0.1582
"215",0.158055555555556
"216",0.157822222222222
"217",0.1573
"218",0.1571
"219",0.1562
"220",0.1562
"221",0.1561
"222",0.1561
"223",0.156
"224",0.1559
"225",0.1555
"226",0.1554
"227",0.1553
"228",0.1552
"229",0.1552
"230",0.154973469387755
"231",0.1549
"232",0.1548
"233",0.1542
"234",0.1541
"235",0.154
"236",0.153755555555556
"237",0.153
"238",0.1517
"239",0.150688888888889
"240",0.1499
"241",0.1492
"242",0.148944444444444
"243",0.1481
"244",0.1481
"245",0.148
"246",0.148
"247",0.147033333333333
"248",0.1462
"249",0.1459
"250",0.1459
"251",0.1457
"252",0.145111111111111
"253",0.145
"254",0.1449
"255",0.1433
"256",0.1427
"257",0.142422222222222
"258",0.1422
"259",0.1421
"260",0.1421
"261",0.1417
"262",0.1413
"263",0.1413
"264",0.1412
"265",0.1393
"266",0.1393
"267",0.1378
"268",0.1378
"269",0.137734693877551
"270",0.137
"271",0.136333333333333
"272",0.135655555555556
"273",0.1354
"274",0.1354
"275",0.1352
"276",0.135
"277",0.135
"278",0.1345
"279",0.1345
"280",0.1345
"281",0.1341
"282",0.133922222222222
"283",0.133577777777778
"284",0.1335
"285",0.1326
"286",0.1325
"287",0.131844444444444
"288",0.131444444444444
"289",0.1314
"290",0.1314
"291",0.1313
"292",0.1312
"293",0.130811111111111
"294",0.1306
"295",0.129788888888889
"296",0.129788888888889
"297",0.129711111111111
"298",0.129522222222222
"299",0.1294
"300",0.129161224489796
"301",0.129122222222222
"302",0.129088888888889
"303",0.128766666666667
"304",0.1286
"305",0.1285
"306",0.1285
"307",0.1284
"308",0.128044444444444
"309",0.1271
"310",0.1268
"311",0.1263
"312",0.1261
"313",0.1251
"314",0.125
"315",0.124311111111111
"316",0.123
"317",0.123
"318",0.122911111111111
"319",0.1224
"320",0.1224
"321",0.122
