"","x"
"1",0.4625
"2",0.37895
"3",0.3509
"4",0.3481
"5",0.3466
"6",0.33
"7",0.3249
"8",0.3209
"9",0.3136
"10",0.3136
"11",0.3077
"12",0.3045
"13",0.2916
"14",0.2861
"15",0.2833
"16",0.2809
"17",0.2809
"18",0.2809
"19",0.2809
"20",0.2798
"21",0.279066666666667
"22",0.279
"23",0.2745
"24",0.2709
"25",0.2704
"26",0.2704
"27",0.2704
"28",0.2643
"29",0.2621
"30",0.2614
"31",0.261255555555556
"32",0.2606
"33",0.2601
"34",0.2573
"35",0.257
"36",0.2558
"37",0.2547
"38",0.2539
"39",0.250555555555556
"40",0.25
"41",0.25
"42",0.246
"43",0.2433
"44",0.2431
"45",0.2401
"46",0.2401
"47",0.235
"48",0.2346
"49",0.2346
"50",0.2343
"51",0.23205
"52",0.2312
"53",0.230822222222222
"54",0.2251
"55",0.2242
"56",0.224188888888889
"57",0.2241
"58",0.2238
"59",0.223766666666667
"60",0.2222
"61",0.222133333333333
"62",0.221733333333333
"63",0.2217
"64",0.221
"65",0.2209
"66",0.2209
"67",0.2187
"68",0.2174
"69",0.2169
"70",0.2161
"71",0.2161
"72",0.214548979591837
"73",0.2134
"74",0.2134
"75",0.2134
"76",0.2134
"77",0.213122222222222
"78",0.213
"79",0.2129
"80",0.2127
"81",0.2126
"82",0.2124
"83",0.2119
"84",0.211722222222222
"85",0.2116
"86",0.211387755102041
"87",0.211
"88",0.2105
"89",0.2095
"90",0.2094
"91",0.2079
"92",0.2067
"93",0.204702040816327
"94",0.2044
"95",0.2041
"96",0.2041
"97",0.2038
"98",0.203
"99",0.2026
"100",0.2011
"101",0.2005
"102",0.1998
"103",0.1995
"104",0.1994
"105",0.1994
"106",0.1991
"107",0.1987
"108",0.1977
"109",0.1965
"110",0.1961
"111",0.194
"112",0.1939
"113",0.193
"114",0.1928
"115",0.1927
"116",0.1926
"117",0.1911
"118",0.1906
"119",0.1906
"120",0.1901
"121",0.1901
"122",0.1901
"123",0.1898
"124",0.1893
"125",0.1887
"126",0.1882
"127",0.1869
"128",0.1864
"129",0.1858
"130",0.1856
"131",0.1854
"132",0.1854
"133",0.1854
"134",0.185
"135",0.1846
"136",0.1834
"137",0.1833
"138",0.1818
"139",0.1817
"140",0.181
"141",0.1792
"142",0.1792
"143",0.1791
"144",0.179
"145",0.1787
"146",0.178502040816326
"147",0.1784
"148",0.1783
"149",0.1782
"150",0.1782
"151",0.177959183673469
"152",0.1779
"153",0.1776
"154",0.1774
"155",0.1768
"156",0.1764
"157",0.1764
"158",0.1764
"159",0.1764
"160",0.176288888888889
"161",0.1757
"162",0.175
"163",0.1749
"164",0.174688888888889
"165",0.1743
