"","x"
"1",0.3539
"2",0.3481
"3",0.3364
"4",0.3283
"5",0.3269
"6",0.3233
"7",0.3186
"8",0.3134
"9",0.3129
"10",0.3101
"11",0.309
"12",0.3084
"13",0.3066
"14",0.3045
"15",0.3035
"16",0.3025
"17",0.2998
"18",0.2934
"19",0.2926
"20",0.2916
"21",0.2916
"22",0.2916
"23",0.2883
"24",0.286
"25",0.283855555555556
"26",0.2814
"27",0.2813
"28",0.2809
"29",0.2809
"30",0.2809
"31",0.2809
"32",0.2809
"33",0.2774
"34",0.2715
"35",0.2704
"36",0.2704
"37",0.2704
"38",0.2702
"39",0.2701
"40",0.27
"41",0.265022222222222
"42",0.2638
"43",0.257
"44",0.257
"45",0.2569
"46",0.25
"47",0.25
"48",0.2489
"49",0.2455
"50",0.242788888888889
"51",0.2405
"52",0.240455555555556
"53",0.2401
"54",0.2401
"55",0.2401
"56",0.2401
"57",0.2401
"58",0.2395
"59",0.2382
"60",0.237322222222222
"61",0.235188888888889
"62",0.234688888888889
"63",0.2335
"64",0.2313
"65",0.2285
"66",0.2285
"67",0.2265
"68",0.2251
"69",0.223855555555556
"70",0.2237
"71",0.2225
"72",0.2223
"73",0.2222
"74",0.2209
"75",0.2191
"76",0.217988888888889
"77",0.2173
"78",0.2171
"79",0.217088888888889
"80",0.214655555555556
"81",0.2146
"82",0.2143
"83",0.214255555555556
"84",0.2142
"85",0.2134
"86",0.212877777777778
"87",0.2126
"88",0.212488888888889
"89",0.212266666666667
"90",0.211866666666667
"91",0.2118
"92",0.2097
"93",0.2097
"94",0.2094
"95",0.209087755102041
"96",0.2082
"97",0.2074
"98",0.2062
"99",0.2061
"100",0.2059
"101",0.2058
"102",0.2042
"103",0.2042
"104",0.203822222222222
"105",0.2036
"106",0.203
"107",0.2026
"108",0.2025
"109",0.2014
"110",0.201
"111",0.2006
"112",0.2003
"113",0.1999
"114",0.1992
"115",0.1987
"116",0.1985
"117",0.1983
"118",0.19824693877551
"119",0.1981
"120",0.1981
"121",0.1981
"122",0.198033333333333
"123",0.197
"124",0.197
"125",0.196933333333333
"126",0.1962
"127",0.1955
"128",0.1954
"129",0.195
"130",0.1946
"131",0.1946
"132",0.1946
"133",0.1942
"134",0.1938
"135",0.1934
"136",0.1924
"137",0.192
"138",0.1911
"139",0.1895
"140",0.188122222222222
"141",0.1859
"142",0.1855
"143",0.1854
"144",0.1854
"145",0.185
"146",0.183166666666667
"147",0.1827
"148",0.1827
"149",0.1817
"150",0.1813
"151",0.1813
"152",0.1811
"153",0.1809
"154",0.1807
"155",0.1801
"156",0.18
"157",0.1794
"158",0.1794
"159",0.1794
"160",0.1789
"161",0.1782
"162",0.1779
"163",0.1776
"164",0.1776
"165",0.1775
"166",0.1773
"167",0.1769
"168",0.1766
"169",0.1766
"170",0.1759
"171",0.1755
"172",0.1746
"173",0.1742
"174",0.1741
"175",0.174
"176",0.1737
"177",0.1725
"178",0.1723
"179",0.1717
"180",0.171
"181",0.1699
"182",0.1696
"183",0.169577777777778
"184",0.169455555555556
"185",0.1692
"186",0.1686
"187",0.1684
"188",0.1682
"189",0.1681
"190",0.167922222222222
"191",0.167755555555556
"192",0.1675
"193",0.167288888888889
"194",0.1669
"195",0.1669
"196",0.1666
"197",0.166466666666667
"198",0.1654
"199",0.165077777777778
"200",0.1649
"201",0.1645
"202",0.1641
"203",0.1641
"204",0.164
"205",0.164
"206",0.1633
"207",0.1625
"208",0.1622
"209",0.1622
"210",0.1621
"211",0.1621
"212",0.1616
"213",0.1613
"214",0.1606
"215",0.1606
"216",0.1602
"217",0.1601
"218",0.16
"219",0.159887755102041
"220",0.1594
"221",0.1594
"222",0.1594
"223",0.1594
"224",0.158188888888889
"225",0.1581
"226",0.157444444444444
"227",0.157144444444444
"228",0.156555555555556
"229",0.1565
"230",0.1565
"231",0.1564
"232",0.156304081632653
"233",0.156288888888889
"234",0.1556
"235",0.1555
"236",0.1555
"237",0.155
"238",0.1549
"239",0.1549
"240",0.154511111111111
"241",0.153911111111111
"242",0.1539
"243",0.1531
"244",0.153
"245",0.1529
"246",0.1528
"247",0.1516
"248",0.1512
"249",0.1509
"250",0.1508
"251",0.150755555555556
"252",0.150688888888889
"253",0.15
"254",0.1498
"255",0.149
"256",0.149
"257",0.149
"258",0.1481
"259",0.1481
"260",0.148022222222222
"261",0.148
"262",0.147933333333333
"263",0.1471
"264",0.1467
"265",0.1467
"266",0.1465
"267",0.146355555555556
"268",0.1461
"269",0.1461
"270",0.1461
"271",0.1457
"272",0.1454
"273",0.1447
"274",0.1445
"275",0.144
"276",0.1429
"277",0.142288888888889
"278",0.1421
"279",0.1421
"280",0.142077777777778
"281",0.1418
"282",0.1418
"283",0.1417
"284",0.1416
"285",0.1415
"286",0.1415
"287",0.1413
"288",0.1413
"289",0.1412
"290",0.14045
"291",0.1403
"292",0.1398
"293",0.139344444444444
"294",0.1384
"295",0.1378
"296",0.1378
"297",0.1378
"298",0.137
"299",0.1362
"300",0.136
"301",0.1348
"302",0.1345
"303",0.1345
"304",0.1345
"305",0.1345
"306",0.1341
"307",0.133885714285714
"308",0.1325
"309",0.1322
"310",0.1322
"311",0.1321
"312",0.1321
"313",0.1321
"314",0.1317
"315",0.1314
"316",0.1313
"317",0.1313
"318",0.1313
"319",0.130688888888889
"320",0.1289
"321",0.12885
"322",0.1285
"323",0.1282
"324",0.128
"325",0.128
"326",0.128
"327",0.127788888888889
"328",0.1274
"329",0.126977777777778
"330",0.1268
"331",0.126288888888889
"332",0.1261
"333",0.1258
"334",0.1257
"335",0.1236
"336",0.1231
"337",0.122722222222222
"338",0.1225
"339",0.1225
"340",0.1225
"341",0.1225
"342",0.122055555555556
"343",0.1218
"344",0.121733333333333
"345",0.1213
"346",0.120888888888889
"347",0.120411111111111
"348",0.1203
"349",0.1199
"350",0.1198
"351",0.119733333333333
"352",0.119455555555556
"353",0.1191
"354",0.118933333333333
"355",0.1189
"356",0.1189
"357",0.1186
"358",0.1178
"359",0.1177
"360",0.116788888888889
"361",0.1164
"362",0.116
"363",0.115622222222222
"364",0.1156
"365",0.1156
"366",0.115222222222222
"367",0.11485
"368",0.114066666666667
"369",0.1131
"370",0.113066666666667
"371",0.113
"372",0.113
"373",0.113
"374",0.113
"375",0.112666666666667
"376",0.112644444444444
"377",0.1109
"378",0.1108
"379",0.1106
"380",0.1106
"381",0.1098
"382",0.1098
"383",0.109555555555556
"384",0.108955555555556
"385",0.108055555555556
"386",0.1076
"387",0.1075
"388",0.1074
"389",0.107222222222222
"390",0.1067
"391",0.1066
"392",0.106
"393",0.106
"394",0.106
"395",0.106
"396",0.105688888888889
"397",0.105487755102041
"398",0.1053
