"","x"
"1",0.3481
"2",0.3173
"3",0.3004
"4",0.2934
"5",0.2916
"6",0.286477777777778
"7",0.282055555555556
"8",0.276022222222222
"9",0.27
"10",0.264822222222222
"11",0.262055555555556
"12",0.258777777777778
"13",0.254171428571429
"14",0.25
"15",0.25
"16",0.25
"17",0.25
"18",0.2479
"19",0.245988888888889
"20",0.2398
"21",0.2334
"22",0.2334
"23",0.2312
"24",0.2304
"25",0.229230612244898
"26",0.2254
"27",0.223771428571429
"28",0.222522222222222
"29",0.22190612244898
"30",0.2209
"31",0.22044693877551
"32",0.2203
"33",0.219122222222222
"34",0.218166666666667
"35",0.217733333333333
"36",0.2167
"37",0.215855555555556
"38",0.215844897959184
"39",0.215204081632653
"40",0.214655555555556
"41",0.2118
"42",0.211622222222222
"43",0.2116
"44",0.211318367346939
"45",0.2104
"46",0.2101
"47",0.2077
"48",0.206479591836735
"49",0.2059
"50",0.205342857142857
"51",0.203816326530612
"52",0.201966666666667
"53",0.2012
"54",0.2007
"55",0.199455555555556
"56",0.1982
"57",0.1974
"58",0.1965
"59",0.1965
"60",0.195616326530612
"61",0.195255555555556
"62",0.1952
"63",0.1944
"64",0.1933
"65",0.193
"66",0.191455555555556
"67",0.191255555555556
"68",0.190822222222222
"69",0.1908
"70",0.1906
"71",0.190304081632653
"72",0.190155555555556
"73",0.187722222222222
"74",0.1877
"75",0.1874
"76",0.186888888888889
"77",0.186144897959184
"78",0.1838
"79",0.183657142857143
"80",0.183657142857143
"81",0.18325
"82",0.1822
"83",0.18125
"84",0.180859183673469
"85",0.178161224489796
"86",0.1765
"87",0.1764
"88",0.1764
"89",0.1761
"90",0.1761
"91",0.174859183673469
"92",0.17445
"93",0.1739
"94",0.1735
"95",0.172022222222222
"96",0.170755555555556
"97",0.170459183673469
"98",0.170459183673469
"99",0.170277551020408
"100",0.17
"101",0.1697
"102",0.1694
"103",0.1688
"104",0.16864693877551
"105",0.168320408163265
"106",0.1681
"107",0.166566666666667
"108",0.166166666666667
"109",0.165936734693878
"110",0.164587755102041
"111",0.163088888888889
"112",0.1626
"113",0.161551851851852
"114",0.1613
"115",0.161
"116",0.1609
"117",0.160577777777778
"118",0.160361224489796
"119",0.1594
"120",0.158055555555556
"121",0.157155555555556
"122",0.1571
"123",0.1566
"124",0.156111111111111
"125",0.1556
"126",0.1547
"127",0.1546
"128",0.1542
"129",0.153904081632653
"130",0.1538
"131",0.15365
"132",0.152955555555556
"133",0.152822222222222
"134",0.152822222222222
"135",0.1521
"136",0.1517
"137",0.1517
"138",0.1517
"139",0.15164693877551
"140",0.1515
"141",0.150688888888889
"142",0.1502
"143",0.15
"144",0.149
"145",0.149
"146",0.148330612244898
"147",0.1483
"148",0.1481
"149",0.147188888888889
"150",0.1471
"151",0.146911111111111
"152",0.1469
