"","1%","5%","10%"
"Distribution 1",0.2683,0.203788888888889,0.175488888888889
"Distribution 2",0.2574,0.2114,0.1776
"Distribution 3",0.264822222222222,0.2101,0.174859183673469
"Distribution 4",0.3025,0.226518367346939,0.1849
"Distribution 5",0.2678,0.2126,0.1805
"Distribution 6",0.2601,0.210655555555556,0.1768
"Distribution 7",0.283588888888889,0.2181,0.1846
"Distribution 8",0.2964,0.214,0.1728
"Distribution 9",0.273988888888889,0.2224,0.186888888888889
"Distribution 10",0.3278,0.2283,0.1966
