"","x"
"1",0.0690241051862674
"2",0.0372429362880886
"3",0.0369685950413223
"4",0.03555
"5",0.0355476454293629
"6",0.0355293552812071
"7",0.0352778703152885
"8",0.0346691871455577
"9",0.0345111111111111
"10",0.03305
"11",0.0329061728395062
"12",0.0324744199881023
"13",0.0291398831263696
"14",0.0284360946745562
"15",0.0283183673469388
"16",0.0273490580545944
"17",0.0273
"18",0.0267313619325281
"19",0.025917728531856
"20",0.0254439184746877
"21",0.0246264650283554
"22",0.023898347107438
"23",0.0238555555555556
"24",0.0237
"25",0.0228151216305062
"26",0.0223809688581315
"27",0.0223493827160494
"28",0.0223402646502836
"29",0.021266745984533
"30",0.0212514739229025
"31",0.0206665294924554
"32",0.020579012345679
"33",0.0204056710775047
"34",0.0203750692520776
"35",0.0203653979238754
"36",0.0198140495867769
"37",0.0194703703703704
"38",0.0192904761904762
"39",0.0191892733564014
"40",0.0189927020291919
"41",0.0187395061728395
"42",0.0183944444444444
"43",0.0180641014033499
"44",0.0179207756232687
"45",0.0178785123966942
"46",0.0178407407407407
"47",0.0175591836734694
"48",0.0172669421487603
"49",0.0170926210955183
"50",0.0170111111111111
"51",0.017
"52",0.0168506925207756
"53",0.0166514739229025
"54",0.0165342688999547
"55",0.0165324263038549
"56",0.0165163331530557
"57",0.0164808004326663
"58",0.0163572801708793
"59",0.016258024691358
"60",0.0159814744801512
"61",0.0159198485667929
"62",0.0157972417522985
"63",0.0157341222879684
"64",0.0151551984877127
"65",0.0151249835634451
"66",0.0146175229853975
"67",0.0145223140495868
"68",0.014501775147929
"69",0.0143883381924198
"70",0.0142952908587258
"71",0.0142938271604938
"72",0.0142888888888889
"73",0.0142644314868805
"74",0.0142479338842975
"75",0.014208843537415
"76",0.0141555555555555
"77",0.0141504132231405
"78",0.0139200333194502
"79",0.0138678762641285
"80",0.013779012345679
"81",0.0137622498647918
"82",0.0136899408284024
"83",0.013678231292517
"84",0.0136640831758034
"85",0.0136194444444445
"86",0.0134795656817373
"87",0.0133959094229364
"88",0.0133454545454545
"89",0.0131363474122546
"90",0.0131164461247637
"91",0.0129086419753086
"92",0.012896694214876
"93",0.0128565139797739
"94",0.0128130375735627
"95",0.0128065843621399
"96",0.0128
"97",0.0127020408163265
"98",0.0126232686980609
"99",0.0125302325581395
"100",0.0124138071525577
"101",0.01235
"102",0.0123345679012346
"103",0.012334516765286
"104",0.0122799524092802
"105",0.0119803324099723
"106",0.011872753834916
"107",0.0118698060941828
"108",0.0118585798816568
"109",0.0118444444444444
"110",0.0118296296296296
"111",0.0118063773833005
"112",0.0117587901701323
"113",0.0117417522985397
"114",0.011660861207228
"115",0.0116559784698193
"116",0.0116556216537775
"117",0.0116069444444444
"118",0.0115473684210526
"119",0.011538062283737
"120",0.0115213296398892
"121",0.0115181818181818
"122",0.0114898375676801
"123",0.0114867768595041
"124",0.0114859504132231
"125",0.0114692965154504
"126",0.0114041666666667
"127",0.0112801749271137
"128",0.0112198553583169
"129",0.0111449704142012
"130",0.0111138888888889
"131",0.0110063057703748
"132",0.0109501133786848
"133",0.0109347107438017
"134",0.0108596650067904
"135",0.0107963332146671
"136",0.0107909090909091
"137",0.0107652892561983
"138",0.0105074074074074
"139",0.0105
"140",0.0104894148586456
"141",0.0104676977989292
"142",0.0104356934610579
"143",0.0103723865056227
"144",0.0103668934240363
"145",0.0103223140495868
"146",0.0103
"147",0.0102
"148",0.0101909262759924
"149",0.0101
"150",0.0100869978086194
"151",0.0100839506172839
"152",0.0100079365079365
"153",0.00999251700680272
"154",0.00998223062381853
"155",0.00997751479289941
"156",0.00997644259369422
"157",0.00997058823529412
"158",0.00995185185185185
"159",0.00993685964181592
"160",0.00982118415993848
"161",0.00980410469958358
"162",0.00980313683071931
"163",0.00979867674858223
"164",0.00978218277449047
"165",0.00971154127100073
"166",0.00971043083900227
"167",0.00966666666666667
"168",0.00965419501133786
"169",0.00963747534516765
"170",0.00962155009451796
"171",0.00961451247165532
"172",0.00958679716784673
"173",0.00950138888888889
"174",0.00948208616780045
"175",0.00947414965986395
"176",0.00945425330812854
"177",0.00945215419501134
"178",0.00944128943758573
"179",0.00941995673336938
"180",0.00941728395061728
"181",0.0093892561983471
"182",0.00936528925619834
"183",0.00932870708546384
"184",0.00922330989724175
"185",0.009222419460881
"186",0.00921746031746032
"187",0.00919230769230769
"188",0.00919091400757166
"189",0.00916944444444445
"190",0.00911051939513478
"191",0.0090819944598338
"192",0.00907164461247637
"193",0.00906666666666667
"194",0.00904625850340136
"195",0.00901994459833796
"196",0.00896666666666667
"197",0.00893795013850415
"198",0.0089
"199",0.00889307479224377
"200",0.00888024691358025
"201",0.00886643990929705
"202",0.00886603569497025
"203",0.0088530612244898
"204",0.00883827160493827
"205",0.00876890203813281
"206",0.00875702479338843
"207",0.0087491045397751
"208",0.00874089962515619
"209",0.00872222222222222
"210",0.00868518518518518
"211",0.00868518518518518
"212",0.00866666666666667
"213",0.00863321799307958
"214",0.0085937618147448
"215",0.00858902109248242
"216",0.00857264957264957
"217",0.00855206611570248
"218",0.00855123966942149
"219",0.00854327750113173
"220",0.00853194444444444
"221",0.00850894148586457
"222",0.00850414201183432
"223",0.00848979206049149
"224",0.00842222222222222
"225",0.00841315192743764
"226",0.00838641975308642
"227",0.00836956521739131
"228",0.00832307692307693
"229",0.00826923076923077
"230",0.00824444444444444
"231",0.0082269875608437
"232",0.0082172255095332
"233",0.00821417769376182
"234",0.0082
"235",0.00811361058601134
"236",0.00810470914127424
"237",0.00804971164936564
"238",0.00804710743801653
"239",0.0080395061728395
"240",0.00800578512396694
"241",0.00800378071833648
"242",0.00798934911242604
"243",0.0079734693877551
"244",0.00794074074074074
"245",0.00788034152436485
"246",0.00785066162570889
"247",0.00783232231779086
"248",0.00781358024691358
"249",0.00780246913580247
"250",0.0078
"251",0.00778727412533641
"252",0.00776639231824417
"253",0.00774268899954731
"254",0.00773446712018141
"255",0.00773421550094518
"256",0.00772469135802469
"257",0.00771038062283737
"258",0.0077
"259",0.0076194706994329
"260",0.0076
"261",0.00759692168401992
"262",0.00756124567474048
"263",0.00753846153846154
"264",0.00748264462809917
"265",0.00747083333333333
"266",0.00746401086464463
"267",0.00746116878123797
"268",0.00745510204081634
"269",0.00745389421074552
"270",0.00744166666666666
"271",0.0074236111111111
"272",0.0074
"273",0.00739794238683127
"274",0.00737036011080332
"275",0.00736666666666667
"276",0.00730207939508507
"277",0.00729995473064735
"278",0.00728712817739319
"279",0.00727278911564626
"280",0.00725425330812855
"281",0.00725138888888889
"282",0.00724545454545454
"283",0.00723055555555556
"284",0.00722962962962963
"285",0.00721604938271605
"286",0.00720396975425331
"287",0.00719410150891633
"288",0.00718695652173913
"289",0.00716390532544379
"290",0.00712916666666667
"291",0.00711380569758948
"292",0.00710997229916898
"293",0.00710241566014161
"294",0.00709832341806382
"295",0.00707229916897507
"296",0.00705585617657529
